Year,Category,Total Expenditure (RM millions)
01/01/2015,Accommodation services,6133.3
01/01/2015,Food and beverage serving services,9317.8
01/01/2015,Passenger transport services,4560
01/01/2015,Travel agencies and other reservation services,1054.6
01/01/2015,"Cultural, sports and recreational services",968.9
01/01/2015,Retail sale of automotive fuel,11480.5
01/01/2015,Country-specific tourism characteristic goods,23192.1
01/01/2015,Country-specific tourism characteristic services,3833.7
01/01/2016,Accommodation services,6598.3
01/01/2016,Food and beverage serving services,10311.7
01/01/2016,Passenger transport services,4868.3
01/01/2016,Travel agencies and other reservation services,1264.8
01/01/2016,"Cultural, sports and recreational services",1055.3
01/01/2016,Retail sale of automotive fuel,11939.4
01/01/2016,Country-specific tourism characteristic goods,26376.8
01/01/2016,Country-specific tourism characteristic services,4083.1
01/01/2017,Accommodation services,7164.1
01/01/2017,Food and beverage serving services,11450.4
01/01/2017,Passenger transport services,5215.1
01/01/2017,Travel agencies and other reservation services,1284
01/01/2017,"Cultural, sports and recreational services",1234.2
01/01/2017,Retail sale of automotive fuel,12599.4
01/01/2017,Country-specific tourism characteristic goods,30149.2
01/01/2017,Country-specific tourism characteristic services,4565.7
01/01/2018,Accommodation services,7882.8
01/01/2018,Food and beverage serving services,12785.6
01/01/2018,Passenger transport services,5777.4
01/01/2018,Travel agencies and other reservation services,1400.9
01/01/2018,"Cultural, sports and recreational services",1390.2
01/01/2018,Retail sale of automotive fuel,13710.3
01/01/2018,Country-specific tourism characteristic goods,34757.9
01/01/2018,Country-specific tourism characteristic services,5036.4
01/01/2019,Accommodation services,8625.7
01/01/2019,Food and beverage serving services,14702.4
01/01/2019,Passenger transport services,6384.5
01/01/2019,Travel agencies and other reservation services,1603.5
01/01/2019,"Cultural, sports and recreational services",1695.3
01/01/2019,Retail sale of automotive fuel,15498.5
01/01/2019,Country-specific tourism characteristic goods,39033.4
01/01/2019,Country-specific tourism characteristic services,5094.9
01/01/2020,Accommodation services,2087.9
01/01/2020,Food and beverage serving services,7497.4
01/01/2020,Passenger transport services,2506.3
01/01/2020,Travel agencies and other reservation services,94.6
01/01/2020,"Cultural, sports and recreational services",569.1
01/01/2020,Retail sale of automotive fuel,3627.2
01/01/2020,Country-specific tourism characteristic goods,21267.4
01/01/2020,Country-specific tourism characteristic services,984.9
01/01/2021,Accommodation services,1087.4
01/01/2021,Food and beverage serving services,2783.2
01/01/2021,Passenger transport services,888.9
01/01/2021,Travel agencies and other reservation services,21.1
01/01/2021,"Cultural, sports and recreational services",457
01/01/2021,Retail sale of automotive fuel,2038.8
01/01/2021,Country-specific tourism characteristic goods,9263.9
01/01/2021,Country-specific tourism characteristic services,910.8
01/01/2022,Accommodation services,5956.5
01/01/2022,Food and beverage serving services,9725.2
01/01/2022,Passenger transport services,4816.7
01/01/2022,Travel agencies and other reservation services,774.5
01/01/2022,"Cultural, sports and recreational services",2022.4
01/01/2022,Retail sale of automotive fuel,8839.7
01/01/2022,Country-specific tourism characteristic goods,24939.2
01/01/2022,Country-specific tourism characteristic services,2142.9