Country,Year,Number of Arrivals,Rank
SINGAPORE,01/01/2015,12930754,1
INDONESIA,01/01/2015,2788033,2
CHINA,01/01/2015,1677163,3
THAILAND,01/01/2015,1343569,4
BRUNEI,01/01/2015,1133555,5
INDIA,01/01/2015,722141,6
PHILIPPINES,01/01/2015,554917,7
AUSTRALIA,01/01/2015,486948,8
JAPAN,01/01/2015,483569,9
SOUTH KOREA,01/01/2015,421161,10
SINGAPORE,01/01/2016,13272961,1
INDONESIA,01/01/2016,3049964,2
CHINA,01/01/2016,2124942,3
THAILAND,01/01/2016,1780800,4
BRUNEI,01/01/2016,1391016,5
INDIA,01/01/2016,638578,6
SOUTH KOREA,01/01/2016,444439,7
PHILIPPINES,01/01/2016,417446,8
JAPAN,01/01/2016,413768,9
UNITED KINGDOM,01/01/2016,400269,10
SINGAPORE,01/01/2017,12441713,1
INDONESIA,01/01/2017,2796570,2
CHINA,01/01/2017,2281666,3
THAILAND,01/01/2017,1836522,4
BRUNEI,01/01/2017,1660506,5
INDIA,01/01/2017,552739,6
SOUTH KOREA,01/01/2017,484528,7
JAPAN,01/01/2017,392777,8
PHILIPPINES,01/01/2017,370559,9
UNITED KINGDOM,01/01/2017,358818,10
SINGAPORE,01/01/2018,10615986,1
INDONESIA,01/01/2018,3277689,2
CHINA,01/01/2018,2944133,3
THAILAND,01/01/2018,1914692,4
BRUNEI,01/01/2018,1382031,5
SOUTH KOREA,01/01/2018,616783,6
INDIA,01/01/2018,600311,7
PHILIPPINES,01/01/2018,396062,8
JAPAN,01/01/2018,394540,9
TAIWAN,01/01/2018,383922,10
SINGAPORE,01/01/2019,10163882,1
INDONESIA,01/01/2019,3623277,2
CHINA,01/01/2019,3114257,3
THAILAND,01/01/2019,1884306,4
BRUNEI,01/01/2019,1216123,5
INDIA,01/01/2019,735309,6
SOUTH KOREA,01/01/2019,673065,7
JAPAN,01/01/2019,424694,8
PHILIPPINES,01/01/2019,421908,9
VIETNAM,01/01/2019,400346,10
SINGAPORE,01/01/2020,1545255,1
INDONESIA,01/01/2020,711723,2
CHINA,01/01/2020,405149,3
THAILAND,01/01/2020,394413,4
INDIA,01/01/2020,155883,5
BRUNEI,01/01/2020,136020,6
SOUTH KOREA,01/01/2020,119750,7
JAPAN,01/01/2020,74383,8
AUSTRALIA,01/01/2020,72680,9
PHILIPPINES,01/01/2020,66051,10
THAILAND,01/01/2021,59607,1
SINGAPORE,01/01/2021,16308,2
INDONESIA,01/01/2021,11025,3
CHINA,01/01/2021,7701,4
INDIA,01/01/2021,3916,5
JAPAN,01/01/2021,3114,6
SOUTH KOREA,01/01/2021,3028,7
UNITED KINGDOM,01/01/2021,2676,8
PHILIPPINES,01/01/2021,2317,9
PAKISTAN,01/01/2021,2043,10